Template,Degree Type,First,v2,v3,v5,v6,Area of Interest (Pre-select),Select Your Degree (Pre-select),,,
Generic,N/A,https://www.uagc.edu/success/about,https://www.uagc.edu/success/about-v2,,https://www.uagc.edu/success/about-v5,,,,https://www.uagc.edu/success/about,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/accreditation,https://www.uagc.edu/success/accreditation-v2,,https://www.uagc.edu/success/accreditation-v5,,,,https://www.uagc.edu/success/accreditation,N/A,Generic
Campaign,N/A,https://www.uagc.edu/success/admissions-financial-aid,https://www.uagc.edu/success/admissions-financial-aid-v2,,https://www.uagc.edu/success/admissions-financial-aid-v5,,,,https://www.uagc.edu/success/admissions-financial-aid,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/adsm,,,https://www.uagc.edu/success/adsm-v5,,,,https://www.uagc.edu/success/advantage,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/advantage,https://www.uagc.edu/success/advantage-v2,,https://www.uagc.edu/success/advantage-v5,,,,https://www.uagc.edu/success/ashford-uagc,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/ashford-uagc,https://www.uagc.edu/success/ashford-uagc-v2,,https://www.uagc.edu/success/ashford-uagc-v5,,,,https://www.uagc.edu/success/attend,N/A,Generic
Campaign,N/A,https://www.uagc.edu/success/attend,https://www.uagc.edu/success/attend-v2,,https://www.uagc.edu/success/attend-v5,,,,https://www.uagc.edu/success/back-to-school,N/A,Generic
Campaign,N/A,https://www.uagc.edu/success/busy-life,,,,,,,https://www.uagc.edu/success/busy-life,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/back-to-school,https://www.uagc.edu/success/back-to-school-v2,,https://www.uagc.edu/success/back-to-school-v5,,,,https://www.uagc.edu/success/college/college-arts-sciences,All Degrees,College
College,All Degrees,https://www.uagc.edu/success/college/college-arts-sciences,https://www.uagc.edu/success/college/college-arts-sciences-v2,,https://www.uagc.edu/success/college/college-arts-sciences-v5,,,,https://www.uagc.edu/success/college/forbes-business-school,All Degrees,College
College,All Degrees,https://www.uagc.edu/success/college/forbes-business-school,https://www.uagc.edu/success/college/forbes-business-school-v2,,https://www.uagc.edu/success/college/forbes-business-school-v5,,,,https://www.uagc.edu/success/continuing-education,N/A,Generic
College,N/A,https://www.uagc.edu/success/continuing-education,https://www.uagc.edu/success/continuing-education-v2,,https://www.uagc.edu/success/continuing-education-v5,,,,https://www.uagc.edu/success/degree-programs,N/A,Generic
Generic,N/A,https://www.uagc.edu/success/degree-programs,https://www.uagc.edu/success/degree-programs-v2,,https://www.uagc.edu/success/degree-programs-v5,,,,https://www.uagc.edu/success/degree-types/associate-degrees,Associates,Degree Type
Degree Type,Associates,https://www.uagc.edu/success/degree-types/associate-degrees,https://www.uagc.edu/success/degree-types/associate-degrees-v2,,https://www.uagc.edu/success/degree-types/associate-degrees-v5,,,,https://www.uagc.edu/success/degree-types/bachelors-degrees,Bachelor,Degree Type
Degree Type,Bachelor,https://www.uagc.edu/success/degree-types/bachelors-degrees,https://www.uagc.edu/success/degree-types/bachelors-degrees-v2,,https://www.uagc.edu/success/degree-types/bachelors-degrees-v5,,,,https://www.uagc.edu/success/degree-types/doctoral-degrees,Doctoral,Degree Type
Degree Type,Doctoral,https://www.uagc.edu/success/degree-types/doctoral-degrees,https://www.uagc.edu/success/degree-types/doctoral-degrees-v2,,https://www.uagc.edu/success/degree-types/doctoral-degrees-v5,,,,https://www.uagc.edu/success/degree-types/masters-degrees,Masters,Degree Type
Degree Type,Masters,https://www.uagc.edu/success/degree-types/masters-degrees,https://www.uagc.edu/success/degree-types/masters-degrees-v2,,https://www.uagc.edu/success/degree-types/masters-degrees-v5,,,,https://www.uagc.edu/success/degree/aa-early-childhood-education,Associates,Program Specific
Program Specific,Associates,https://www.uagc.edu/success/degree/aa-early-childhood-education,https://www.uagc.edu/success/degree/aa-early-childhood-education-v2,https://www.uagc.edu/success/degree/aa-early-childhood-education-v3,https://www.uagc.edu/success/degree/aa-early-childhood-education-v5,https://www.uagc.edu/success/degree/aa-early-childhood-education-v6,Education ,AA in Early Childhood Education,https://www.uagc.edu/success/degree/ba-accounting,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-accounting,https://www.uagc.edu/success/degree/ba-accounting-v2,https://www.uagc.edu/success/degree/ba-accounting-v3,https://www.uagc.edu/success/degree/ba-accounting-v5,https://www.uagc.edu/success/degree/ba-accounting-v6,Business,BA in Accounting,https://www.uagc.edu/success/degree/ba-applied-behavior-science,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-applied-behavior-science,https://www.uagc.edu/success/degree/ba-applied-behavior-science-v2,https://www.uagc.edu/success/degree/ba-applied-behavior-science-v3,https://www.uagc.edu/success/degree/ba-applied-behavior-science-v5,https://www.uagc.edu/success/degree/ba-applied-behavior-science-v6,Social & Behavioral Science,Applied Behavioral Science,https://www.uagc.edu/success/degree/ba-business-administration,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-business-administration,https://www.uagc.edu/success/degree/ba-business-administration-v2,https://www.uagc.edu/success/degree/ba-business-administration-v3,https://www.uagc.edu/success/degree/ba-business-administration-v5,https://www.uagc.edu/success/degree/ba-business-administration-v6,Business,BA in Business Administration,https://www.uagc.edu/success/degree/ba-business-economics,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-business-information-system,https://www.uagc.edu/success/degree/ba-business-information-system-v2,https://www.uagc.edu/success/degree/ba-business-information-system-v3,https://www.uagc.edu/success/degree/ba-business-information-system-v5,https://www.uagc.edu/success/degree/ba-business-information-system-v6,Information Technology ,BA in Business Information Systems,https://www.uagc.edu/success/degree/ba-business-information-system,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-business-leadership,https://www.uagc.edu/success/degree/ba-business-leadership-v2,https://www.uagc.edu/success/degree/ba-business-leadership-v3,https://www.uagc.edu/success/degree/ba-business-leadership-v5,https://www.uagc.edu/success/degree/ba-business-leadership-v6,Business,BA in Business Leadership,https://www.uagc.edu/success/degree/ba-business-leadership,Bachelor,Program Specific
Program Specific,N/A,https://www.uagc.edu/success/degree/ba-child-development,,,https://www.uagc.edu/success/degree/ba-child-development-v5,https://www.uagc.edu/success/degree/ba-child-development-v6,Education,BA in Child Development,https://www.uagc.edu/success/degree/ba-child-development,N/A,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-early-childhood-administration,https://www.uagc.edu/success/degree/ba-early-childhood-administration-v2,https://www.uagc.edu/success/degree/ba-early-childhood-administration-v3,https://www.uagc.edu/success/degree/ba-early-childhood-administration-v5,https://www.uagc.edu/success/degree/ba-early-childhood-administration-v6,Education,BA in Early Childhood Education Administration,https://www.uagc.edu/success/degree/ba-communication-studies,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-early-childhood-development-differentiated-instruction,https://www.uagc.edu/success/degree/ba-early-childhood-development-differentiated-instruction-v2,https://www.uagc.edu/success/degree/ba-early-childhood-development-differentiated-instruction-v3,https://www.uagc.edu/success/degree/ba-early-childhood-development-differentiated-instruction-v5,https://www.uagc.edu/success/degree/ba-early-childhood-development-differentiated-instruction-v6,Education,BA in Early Childhood Development with Differentiated Instruction,https://www.uagc.edu/success/degree/ba-early-childhood-administration,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-early-childhood-education,https://www.uagc.edu/success/degree/ba-early-childhood-education-v2,https://www.uagc.edu/success/degree/ba-early-childhood-education-v3,https://www.uagc.edu/success/degree/ba-early-childhood-education-v5,https://www.uagc.edu/success/degree/ba-early-childhood-education-v6,Education,BA in Early Childhood Education,https://www.uagc.edu/success/degree/ba-early-childhood-development-differentiated-instruction,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-education-studies,https://www.uagc.edu/success/degree/ba-education-studies-v2,https://www.uagc.edu/success/degree/ba-education-studies-v3,https://www.uagc.edu/success/degree/ba-education-studies-v5,https://www.uagc.edu/success/degree/ba-education-studies-v6,Education,BA in Education Studies,https://www.uagc.edu/success/degree/ba-early-childhood-education,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/ba-finance,https://www.uagc.edu/success/degree/ba-finance-v2,https://www.uagc.edu/success/degree/ba-finance-v3,https://www.uagc.edu/success/degree/ba-finance-v5,https://www.uagc.edu/success/degree/ba-finance-v6,Business,BA in Finance,https://www.uagc.edu/success/degree/ba-education-studies,Bachelor,Program Specific
