A. User‑facing inputs,"¹ The field exists in the DOM but the wrapper carries class hidden, so it is initially concealed until a script reveals it.",,,,
Section / Field key,Drupal #type,Label shown to user (or description),Visible?,Required?,Placeholder / Options / Notes
Preface,container,— (wrapper),✓,—,CSS class: --preface
└─ title,processed_text,<h2>Please provide a few details</h2>,✓,—,Rendered as full HTML
contact_information,container,Contact Information (title is set to invisible),✓,—,—
├─ firstname,textfield,First Name,✓,✓,“First Name”; max 50 chars; pattern ^[a-zA‑Z]*$
├─ lastname,textfield,Last Name,✓,✓,“Last Name”; max 50 chars; pattern ^[a-zA‑Z]*$
├─ phone1,tel,Phone,✓,✓,“123 123 1234”; max 30 chars
└─ emailaddress,email,Email,✓,✓,“Email”; max 100 chars; e‑mail regex pattern
interest_information,container,Interest (title invisible),✓,—,—
├─ state,select,State,✓,✓,Options sourced from taxonomy taxonomy_term_state; empty option = “Select State”
├─ degree_level,select,Degree Level,✓*¹,—,Taxonomy taxonomy_term_degree_level; wrapper class hidden (so it starts hidden)
├─ college_of_interest,select,Area of Interest,✓,✓,Taxonomy taxonomy_term_interest; empty = “Select Area of Interest”
├─ clientdegreeid,select,Select Your Degree,✓,✓,Option set degree_lead_ids; empty = “Select Your Degree”
├─ registerednurse,radios,Are you currently a licensed RN?,✓,—,Options = Yes / No (side‑by‑side)
├─ are_you_a_member_of_the_military_,radios,Are you a member of the military?,✓,—,Yes / No (default = No)
└─ validation message containers,container + processed_text,Show program/state restrictions dynamically,✗ (JS‑controlled),—,Hidden until triggered
tcpa_checkbox,checkbox,“I agree to the contact methods …”,✓,✓,Description follows checkbox
actions,webform_actions,Submit button set,✓,—,Submit label = “Request Information”
marketing.consent,processed_text,Full TCPA / privacy disclosure paragraph,✓,—,Rendered HTML disclaimer under form
,,,,,
B. Hidden & system‑tracking fields,"(Every hidden element still carries a Drupal #title, but titles are never rendered in the page.)",,,,
Hidden field key (#type = hidden unless noted),Purpose / default,,,,
unique_lead_id,Lead‑tracking UUID,,,,
vendor (default = uagc-homegrown),Source tag,,,,
"subsource1, subsource2",Additional traffic sub‑tags,,,,
"webinitiatingurl, weblandingurl, callcenterurl",Original / landing / call‑center URLs,,,,
something_else_choice,Stores “Other” picklists,,,,
"lfs_status, new_lfs_status (default 0)",Legacy - Lead‑flow state flags ,,,,
pre_submit (container),Holds elements inserted just before submit,,,,
clientdocumentid,Form id - drupal,,,,
refererurl (default = www.ashford.edu),HTTP referer capture,,,,
revisionid (default = ASH.112916),Form revision tracking,,,,
sourceid (default = ADE219),Marketing source code,,,,
"referrer, originpage, clientid, programselect, device_type",Analytics / attribution,,,,
lid_lead_id,LeadID token for TrustedForm / Jornaya,,,,
leadid_tcpa_disclosure (default true),Indicates TCPA copy shown,,,,
uagc_analytics_google_id,Google Analytics client ID,,,,
"optimizely_id, test_variation (default control)",A/B test info,,,,
"experiment_id1 … 4, experience_variation1 … 4",Multi‑experiment slots,,,,
programid,Salesforce Program ID,,,,
"rfi_form_name, rfi_form_type, rfi_form_id",Internal form identifiers,,,,
portal_activation_link,If portal activation is generated by Lead API,,,,
"partner_id, partner_name",Internal partnership tags,,,,
